monto,ubicacion,usuario,metodo_pago,dispositivo,direccion_ip,hora_transaccion,fraude
208.3,Santa Cruz de Tenerife,francisco-javier73,paypal,PC,211.63.133.127,10,False
479.97,Alicante,tferrera,tarjeta_credito,tableta,188.6.214.140,14,True
926.36,Valladolid,adanarellano,tarjeta_debito,tableta,221.156.249.195,5,True
228.4,Valencia,dleiva,tarjeta_credito,PC,146.121.94.59,21,True
371.27,Ávila,hbautista,paypal,móvil,210.215.167.189,22,True
872.84,Girona,rodriguezeric,transferencia,PC,144.14.152.108,7,True
514.98,Álava,florindabeltran,transferencia,PC,204.117.38.0,8,False
344.55,Barcelona,tbustos,paypal,PC,180.111.229.111,15,False
833.88,Valladolid,german73,tarjeta_debito,PC,92.123.188.177,18,True
84.59,León,claudiacatalan,tarjeta_debito,móvil,152.228.105.90,22,False
27.31,Valladolid,psalom,tarjeta_credito,móvil,205.250.121.73,3,False
591.88,Huelva,escamillaedu,transferencia,tableta,204.87.168.89,7,False
31.51,Cádiz,chus93,tarjeta_credito,tableta,129.188.82.212,23,True
503.7,Toledo,felix02,transferencia,tableta,190.193.22.3,0,True
90.41,Barcelona,qmolina,tarjeta_debito,móvil,202.32.173.121,13,True
601.06,Salamanca,rubenmelendez,tarjeta_debito,móvil,115.120.131.24,4,True
943.78,Ciudad,quique66,paypal,móvil,167.176.182.60,11,False
596.58,Álava,melaniagomila,tarjeta_debito,PC,216.66.103.184,9,False
492.81,Palencia,wlorenzo,paypal,móvil,195.252.161.205,6,False
844.91,Ceuta,hipolito03,tarjeta_debito,tableta,182.57.106.90,18,True
726.47,Zamora,rtoro,paypal,tableta,173.127.113.3,2,False
520.04,Huelva,toniamat,paypal,móvil,26.233.156.71,4,False
353.97,Huesca,aduenas,tarjeta_credito,móvil,73.190.74.49,14,True
589.2,Murcia,pacabonilla,transferencia,tableta,185.63.127.33,15,True
308.22,Salamanca,aurelio60,transferencia,PC,144.222.160.189,23,False
483.11,Segovia,tonocerezo,transferencia,tableta,209.120.66.242,17,True
407.86,Ceuta,domingoaznar,transferencia,móvil,125.38.124.51,2,False
787.31,Santa Cruz de Tenerife,emigdio25,tarjeta_credito,tableta,202.90.53.241,8,False
454.61,Asturias,aitana96,tarjeta_debito,tableta,115.41.87.2,5,False
18.83,Castellón,callejanarcisa,tarjeta_credito,tableta,153.129.134.28,14,False
821.41,Vizcaya,ttoledo,tarjeta_debito,PC,132.64.144.13,0,True
287.33,Las Palmas,tenaarcelia,tarjeta_credito,móvil,38.104.83.211,22,True
324.36,Barcelona,salvadorursula,tarjeta_debito,tableta,168.141.14.26,23,True
232.43,Segovia,julia36,tarjeta_debito,PC,202.217.38.173,16,True
952.86,Murcia,victor65,paypal,tableta,218.17.99.105,7,True
819.91,Huesca,eleuterio86,paypal,móvil,207.218.187.64,1,True
986.59,Vizcaya,claudia03,transferencia,móvil,145.96.8.235,6,True
9.88,Girona,jjover,tarjeta_credito,móvil,147.167.112.160,13,False
993.66,Lleida,rblanco,tarjeta_credito,móvil,13.246.109.98,5,True
849.82,Almería,paulina43,paypal,PC,206.0.199.91,0,False
985.35,Melilla,milagros67,tarjeta_credito,PC,43.238.236.46,5,False
656.41,Zaragoza,soraya86,transferencia,PC,214.78.94.252,3,True
361.52,Asturias,qpadilla,paypal,móvil,185.251.155.4,0,True
825.43,Valladolid,gbarranco,tarjeta_debito,PC,137.155.185.120,22,False
777.02,Zamora,balsina,tarjeta_credito,tableta,200.100.37.254,13,True
255.01,Zaragoza,gomezsamanta,tarjeta_debito,móvil,217.86.223.87,17,True
457.53,Segovia,ufajardo,tarjeta_debito,PC,176.166.86.243,8,False
500.32,Burgos,vargascarmelo,tarjeta_debito,móvil,150.165.80.67,6,True
792.38,Cantabria,belensalgado,tarjeta_credito,tableta,135.38.3.247,19,True
285.09,Zaragoza,ubernal,paypal,PC,209.208.106.158,9,False
671.68,Cantabria,rleiva,tarjeta_debito,PC,194.4.188.80,0,True
561.02,Cádiz,rodolfomoliner,paypal,móvil,218.82.64.21,20,True
116.36,Cáceres,vmena,transferencia,móvil,73.238.89.31,10,False
685.23,Zamora,elisabetbelda,tarjeta_credito,móvil,98.35.132.195,6,False
905.06,Teruel,morenotatiana,paypal,tableta,200.192.242.186,13,False
857.18,La Rioja,blanca37,tarjeta_credito,tableta,197.176.51.106,16,False
69.8,Jaén,jose-luisflores,tarjeta_credito,tableta,1.217.41.196,14,True
376.24,Las Palmas,miguelmariano,tarjeta_credito,PC,93.3.225.205,11,True
754.15,Albacete,saleszaida,paypal,tableta,85.87.69.133,13,False
182.2,Ourense,phuerta,tarjeta_debito,tableta,215.24.23.120,9,False
584.36,Granada,urivas,paypal,PC,12.231.138.190,20,False
284.55,Granada,severino54,paypal,PC,52.144.76.190,6,False
185.61,Asturias,aabella,tarjeta_credito,PC,16.68.192.194,9,True
983.33,Santa Cruz de Tenerife,cleto21,tarjeta_debito,tableta,25.66.215.244,22,True
905.55,Granada,ptalavera,tarjeta_debito,tableta,173.85.226.54,21,True
538.12,Madrid,tatiana79,transferencia,tableta,143.17.190.15,21,False
929.78,La Coruña,tvillar,tarjeta_debito,PC,154.70.244.196,3,True
820.75,Jaén,pugamartina,transferencia,móvil,219.98.53.96,14,False
675.2,Cuenca,castillocandida,tarjeta_debito,tableta,181.123.127.168,15,False
77.38,Ciudad,maria-fernanda36,paypal,tableta,43.188.68.91,8,True
163.53,Las Palmas,xgarces,tarjeta_credito,móvil,201.103.187.166,21,True
723.35,Baleares,morena44,transferencia,tableta,141.198.64.166,11,False
947.22,Lleida,celestinatoledo,paypal,móvil,202.9.29.225,13,True
386.48,Palencia,calcruz,paypal,PC,214.35.88.80,22,True
708.05,Málaga,icriado,tarjeta_credito,PC,88.107.188.230,21,False
211.54,Segovia,susana23,tarjeta_credito,tableta,198.229.125.125,9,True
37.7,Valladolid,warranz,paypal,móvil,208.125.64.140,23,True
98.71,Tarragona,burgosrenata,transferencia,móvil,222.85.216.228,0,False
251.18,Castellón,sernanatalio,tarjeta_debito,PC,191.246.201.41,0,True
127.32,Málaga,ramona10,tarjeta_credito,móvil,143.212.175.52,15,False
788.01,Asturias,rico59,transferencia,móvil,147.1.133.92,19,False
5.62,Burgos,tonoconde,transferencia,tableta,14.168.254.91,14,False
806.66,Burgos,pozuelojoaquina,tarjeta_debito,móvil,72.111.130.59,19,True
365.37,Valencia,joaquinapalmer,transferencia,móvil,66.131.61.59,20,True
208.31,Toledo,lledojoel,tarjeta_credito,tableta,158.37.68.243,1,True
288.44,Vizcaya,ivalle,tarjeta_credito,móvil,208.104.165.158,8,True
266.3,Ávila,prudencia82,tarjeta_debito,tableta,181.103.44.8,2,False
922.69,Zaragoza,spazos,tarjeta_credito,tableta,135.70.62.130,10,False
834.48,Sevilla,barcoconstanza,tarjeta_debito,tableta,204.42.93.60,12,False
11.64,Valencia,andrea15,tarjeta_credito,tableta,138.1.237.29,9,True
765.35,Palencia,larranagaemperatriz,paypal,móvil,182.54.91.199,23,True
78.75,Barcelona,fabiola13,tarjeta_credito,tableta,93.189.111.246,22,True
509.99,Palencia,cantonfaustino,transferencia,tableta,119.231.142.205,13,True
635.97,Zamora,zalonso,transferencia,PC,49.55.198.100,9,False
423.92,Guadalajara,montesinosjosefa,transferencia,móvil,17.9.188.42,23,True
797.23,Cádiz,giraltefrain,paypal,PC,109.201.106.82,8,True
684.75,Las Palmas,arrietaflorencio,transferencia,tableta,213.65.186.212,3,False
500.08,Alicante,adelgado,tarjeta_debito,móvil,217.96.118.186,22,False
719.25,Ceuta,georgina93,transferencia,tableta,213.196.198.15,19,True
50.28,Baleares,nicanor33,tarjeta_credito,tableta,163.28.202.133,16,True
93.87,Jaén,mnovoa,paypal,tableta,9.192.61.67,13,False
469.57,Tarragona,ana-belen78,tarjeta_credito,PC,204.203.193.176,12,False
12.29,Granada,raul50,tarjeta_credito,tableta,146.154.196.2,17,False
267.75,Santa Cruz de Tenerife,gabellan,tarjeta_credito,PC,16.243.89.228,23,False
490.54,Cuenca,walvarez,paypal,móvil,184.244.206.166,3,True
328.52,León,jose-luisizquierdo,transferencia,móvil,159.102.113.123,0,False
349.77,Tarragona,leonrosaura,tarjeta_credito,PC,16.227.112.40,2,False
488.19,Navarra,nuriatenorio,tarjeta_debito,PC,161.228.137.188,13,True
236.15,Huelva,hernandezernesto,transferencia,móvil,213.85.139.68,0,True
331.6,La Coruña,alonsomaria-jose,transferencia,PC,48.53.218.158,7,False
63.37,Salamanca,xalvarado,transferencia,PC,179.166.158.128,11,True
141.79,La Rioja,arcospili,transferencia,tableta,157.241.103.12,5,True
32.29,Cáceres,beatriz67,transferencia,tableta,199.5.194.44,9,False
979.05,Madrid,montserratcorrea,transferencia,tableta,211.170.162.38,10,False
591.08,León,peraltaantonia,paypal,tableta,131.101.125.176,4,False
419.19,Guadalajara,bcornejo,tarjeta_debito,tableta,172.215.94.156,20,False
540.93,Teruel,vizcainoeliana,paypal,PC,193.198.33.97,22,False
233.88,Cantabria,perezmarisol,transferencia,móvil,18.193.27.131,5,True
496.77,Toledo,aureasaavedra,tarjeta_debito,PC,64.135.173.113,0,False
794.03,Lugo,rafaelborrell,tarjeta_debito,móvil,137.10.78.136,9,False
745.59,Teruel,reynaldobenitez,paypal,tableta,45.232.30.43,11,True
939.87,Badajoz,amparoestrada,tarjeta_debito,PC,209.59.246.40,14,True
564.13,Lugo,tnaranjo,tarjeta_credito,tableta,222.126.38.1,23,False
265.83,Soria,xmulet,tarjeta_debito,PC,41.242.230.110,2,True
323.28,Teruel,hdiez,transferencia,tableta,118.177.95.159,22,False
466.94,Almería,sorayanavarro,tarjeta_credito,tableta,104.12.136.37,23,True
952.93,Álava,jorge08,tarjeta_credito,móvil,201.254.98.100,20,False
958.53,La Rioja,bonifacio47,transferencia,tableta,83.117.165.77,18,True
829.17,Huesca,bermudezpastor,transferencia,tableta,219.192.58.122,4,True
81.58,Madrid,primitivo96,tarjeta_debito,tableta,152.98.78.175,21,True
459.43,Toledo,gervasio67,tarjeta_credito,móvil,167.176.161.65,13,False
227.78,Ávila,gabino73,tarjeta_debito,PC,192.142.99.45,6,False
753.33,Córdoba,penacristian,transferencia,móvil,144.21.97.214,10,False
89.82,Huesca,kalbero,tarjeta_credito,tableta,19.178.96.189,3,False
379.89,Ávila,blazquezcandelario,transferencia,tableta,222.110.33.238,9,False
113.49,Las Palmas,belen50,transferencia,móvil,204.36.168.249,4,True
530.4,Albacete,turchucho,tarjeta_credito,PC,81.220.5.6,21,False
423.18,Soria,mascaromaria-pilar,paypal,PC,212.101.138.143,23,False
176.85,Teruel,etoledo,tarjeta_credito,PC,112.79.35.145,5,True
464.24,Castellón,jose-antonioalemany,tarjeta_debito,tableta,194.201.188.200,11,True
639.77,Cuenca,hortensiapeiro,transferencia,tableta,62.188.109.20,10,False
538.24,Girona,ximenacanete,tarjeta_credito,PC,3.34.64.163,4,True
942.29,Albacete,maria-luisa64,paypal,PC,222.4.252.101,22,True
116.65,Lugo,rosendo57,tarjeta_credito,tableta,169.182.138.193,3,True
213.83,Jaén,rbartolome,tarjeta_debito,móvil,61.221.124.245,10,False
291.05,Zaragoza,chavesjovita,paypal,móvil,220.66.0.95,19,True
238.99,Girona,bejaranomarc,tarjeta_credito,tableta,71.132.118.109,20,False
427.45,Ciudad,elisabet82,paypal,PC,151.153.216.195,1,True
445.64,Almería,dimas18,tarjeta_credito,tableta,156.49.183.253,10,False
492.26,Santa Cruz de Tenerife,uarrieta,transferencia,tableta,162.119.43.128,7,True
355.87,Jaén,ygalvan,transferencia,PC,173.38.180.130,10,False
577.62,Barcelona,antonio39,transferencia,PC,81.166.197.92,23,True
108.47,Ciudad,regina11,transferencia,PC,206.67.121.145,8,False
122.63,Badajoz,vvall,transferencia,PC,215.96.146.51,9,False
533.11,Ourense,diezedelmiro,transferencia,móvil,36.201.27.51,15,False
562.49,Murcia,arcosgustavo,paypal,PC,222.217.199.181,22,True
965.03,Girona,torrecillaenrique,tarjeta_credito,PC,198.49.72.111,15,True
476.86,Jaén,eagusti,transferencia,móvil,218.17.81.65,20,False
661.66,Santa Cruz de Tenerife,jgalvez,tarjeta_debito,tableta,216.218.238.126,5,True
282.29,Ourense,agustindominguez,tarjeta_credito,móvil,130.191.172.139,15,False
855.47,Cuenca,flaviacosta,transferencia,móvil,185.31.195.69,19,False
853.89,Ávila,marcelino76,paypal,PC,159.38.217.11,2,False
556.7,Guipúzcoa,cabreroeloisa,paypal,PC,199.117.122.219,17,True
379.71,Cantabria,vheras,paypal,móvil,213.241.32.53,8,False
767.15,Albacete,polraul,tarjeta_credito,tableta,158.26.46.156,19,False
629.74,Melilla,idonoso,paypal,tableta,32.97.68.226,2,True
894.21,Zamora,brunildacaro,tarjeta_debito,móvil,172.117.99.39,23,True
286.82,Sevilla,talaverasara,tarjeta_debito,PC,197.98.23.47,9,True
387.66,Santa Cruz de Tenerife,carrenomarisela,transferencia,móvil,97.120.141.19,7,True
110.33,Pontevedra,icalzada,tarjeta_debito,tableta,218.147.72.80,4,False
553.47,Málaga,urbano52,transferencia,PC,34.153.140.228,17,False
457.37,Castellón,nberenguer,paypal,móvil,210.94.165.217,18,True
879.99,Tarragona,eli87,tarjeta_credito,tableta,154.134.40.139,4,True
681.95,Granada,yburgos,tarjeta_credito,PC,49.20.217.40,15,False
994.64,Valencia,ciriaco44,tarjeta_debito,PC,204.122.107.252,6,True
176.41,Álava,teclacorrea,paypal,tableta,149.57.63.49,17,True
688.33,Ourense,francisco-javiermenendez,paypal,móvil,133.98.184.63,5,True
360.12,Las Palmas,dulceolive,transferencia,PC,135.97.78.185,6,False
344.28,Barcelona,jodarvalentin,paypal,móvil,9.131.47.184,18,False
670.26,Álava,jbarbera,tarjeta_credito,PC,172.252.113.231,21,False
8.55,Huesca,ealfonso,tarjeta_credito,móvil,195.38.200.61,2,False
934.99,Jaén,macariocepeda,tarjeta_debito,PC,134.95.187.147,23,True
106.87,Las Palmas,sbernal,paypal,PC,110.108.98.254,15,True
565.93,Guipúzcoa,yzamora,paypal,tableta,15.248.161.82,7,False
272.91,Albacete,pereajessica,tarjeta_credito,móvil,142.5.150.92,14,False
799.32,León,patricia72,tarjeta_debito,PC,168.248.101.126,8,False
198.43,Málaga,eleuterio28,transferencia,móvil,167.247.41.64,11,False
568.52,Córdoba,seve91,transferencia,móvil,165.47.239.77,23,False
418.59,Ceuta,teofilasola,paypal,tableta,218.95.64.64,18,True
846.21,Huesca,ruanoedelmiro,transferencia,PC,134.151.239.25,12,False
135.55,Navarra,jgalan,transferencia,móvil,205.23.210.38,12,True
820.17,Ávila,ssosa,paypal,tableta,76.82.203.250,6,False
506.12,Salamanca,mirangeles,tarjeta_credito,PC,165.195.239.242,8,True
248.23,Burgos,camachomorena,tarjeta_credito,móvil,22.217.14.244,14,False
581.83,Burgos,victorino12,paypal,PC,63.151.63.180,16,False
539.62,Valencia,almagroisidora,transferencia,PC,207.35.229.223,18,True
190.69,Málaga,tcoloma,paypal,móvil,194.231.253.21,18,True
854.85,Huelva,esteveisabel,transferencia,PC,6.59.59.243,9,False
64.92,Lleida,ileanallano,tarjeta_credito,PC,192.207.8.59,10,True
816.09,Toledo,bamaya,paypal,tableta,201.155.36.88,1,False
515.75,Ciudad,florindavilar,tarjeta_debito,tableta,52.253.91.151,17,True
45.3,Toledo,marcialrodriguez,paypal,móvil,136.153.56.148,20,True
824.34,Girona,yroura,tarjeta_debito,tableta,196.123.228.177,4,False
885.66,Palencia,avilaruben,tarjeta_debito,móvil,153.71.93.94,20,True
428.71,Valladolid,rfeijoo,transferencia,móvil,70.24.78.92,20,True
593.15,Valencia,asdrubal84,tarjeta_debito,tableta,144.17.34.218,9,True
846.09,Vizcaya,narvaezfelipa,paypal,PC,69.187.137.230,19,True
384.34,Álava,calmansa,tarjeta_credito,móvil,206.252.179.153,10,False
75.6,Albacete,doroteacamara,paypal,móvil,179.218.124.138,4,False
192.53,La Coruña,crespisamu,transferencia,tableta,214.139.211.45,0,True
733.47,Jaén,bernabepadilla,transferencia,tableta,133.53.29.76,20,True
167.74,Castellón,lorenacortes,tarjeta_credito,PC,64.214.10.169,10,False
788.66,Barcelona,ciprianotorre,paypal,PC,151.43.177.195,7,False
581.37,Melilla,solerrebeca,transferencia,PC,60.235.225.125,17,True
843.35,La Rioja,bibianasevillano,tarjeta_credito,PC,158.235.36.21,2,False
230.6,Baleares,qfajardo,paypal,móvil,104.229.42.202,4,False
788.18,Teruel,borregoetelvina,tarjeta_credito,PC,141.25.182.234,12,False
606.79,Almería,isaacporras,transferencia,PC,199.225.5.117,3,False
488.05,Baleares,graciana15,transferencia,PC,98.93.192.190,11,True
529.22,Baleares,angelica71,tarjeta_credito,PC,205.135.166.208,9,True
706.68,Albacete,hvillalobos,transferencia,tableta,61.111.254.54,14,False
81.52,Almería,wpalomo,transferencia,PC,41.1.167.163,20,True
128.03,Alicante,casalreyes,tarjeta_credito,móvil,88.19.227.13,5,False
865.07,Vizcaya,carofabiana,transferencia,tableta,144.51.33.200,9,True
146.69,Jaén,vrocha,tarjeta_debito,tableta,190.41.32.190,0,False
804.71,Madrid,jmulet,tarjeta_credito,tableta,6.168.132.110,1,False
135.15,Albacete,fsanchez,paypal,PC,196.100.81.101,11,False
977.96,Ceuta,fabian41,tarjeta_debito,PC,182.247.132.55,4,False
910.63,Albacete,vanaya,tarjeta_debito,tableta,86.112.77.28,22,True
540.89,Ceuta,hros,transferencia,tableta,103.158.96.130,11,True
675.71,Guadalajara,blas28,tarjeta_debito,PC,221.181.63.218,10,True
189.28,Burgos,teofabregas,tarjeta_credito,tableta,45.127.233.220,0,False
116.26,Madrid,maxi04,tarjeta_credito,móvil,160.132.2.33,12,True
36.72,Castellón,montenegrojonatan,tarjeta_debito,tableta,139.134.209.3,6,True
513.66,Guipúzcoa,edmundosolsona,tarjeta_credito,móvil,12.202.176.156,3,True
983.17,Baleares,encarnaciontaboada,tarjeta_debito,tableta,130.208.168.136,4,False
412.92,Cantabria,ballesterosrosendo,tarjeta_debito,móvil,218.158.221.96,6,False
335.31,Burgos,gallartgregorio,transferencia,móvil,207.21.36.138,18,True
23.11,Soria,marmorell,transferencia,PC,220.241.143.209,12,False
465.36,Toledo,fabricioabril,tarjeta_credito,PC,129.101.76.92,0,True
38.72,Burgos,gilchaves,paypal,tableta,143.178.15.28,13,True
161.73,Álava,aguilarimelda,tarjeta_debito,tableta,220.176.65.41,0,False
453.15,Badajoz,galadavila,transferencia,PC,139.15.60.17,8,False
539.39,Pontevedra,miroctavio,paypal,móvil,150.255.161.36,15,False
139.33,Las Palmas,brivera,tarjeta_debito,móvil,193.31.27.214,5,False
319.96,Granada,bnino,paypal,móvil,96.28.178.160,11,False
984.9,Ávila,ofeliaabad,transferencia,tableta,192.49.88.125,4,False
40.05,Guadalajara,rico29,paypal,PC,154.63.59.111,14,True
61.68,Alicante,dalmaualfredo,paypal,PC,190.188.51.133,21,False
895.15,Zamora,priegolola,transferencia,móvil,168.206.46.66,11,True
985.52,Castellón,juanito94,tarjeta_debito,móvil,161.48.49.148,0,True
167.13,Toledo,marisolabril,tarjeta_debito,PC,191.19.99.149,22,True
895.12,Ciudad,diazhector,paypal,PC,11.197.56.162,20,True
603.56,Vizcaya,jeremiasmur,paypal,móvil,202.76.49.91,16,False
942.49,Tarragona,encarnacionmosquera,paypal,móvil,144.149.32.196,15,False
34.66,Alicante,vilaltacruz,transferencia,móvil,181.209.147.129,6,False
629.83,Cuenca,ynevado,tarjeta_debito,PC,210.40.97.172,14,True
341.18,Sevilla,salvadorbaro,tarjeta_debito,móvil,154.91.39.246,21,True
250.84,Girona,eladio14,transferencia,PC,26.24.102.72,5,False
887.52,Asturias,dimasllado,paypal,PC,44.85.152.152,20,False
230.49,Melilla,rozasantonia,transferencia,móvil,103.174.189.187,5,True
747.78,Albacete,garayamando,transferencia,PC,219.5.210.205,10,True
880.33,Madrid,teresitamorata,tarjeta_debito,PC,188.85.153.204,14,True
225.74,Ciudad,nogueiracloe,tarjeta_debito,tableta,175.55.6.137,17,True
348.21,Badajoz,blancoaroa,transferencia,tableta,34.117.69.32,20,False
984.34,Ciudad,damianrozas,tarjeta_credito,móvil,128.185.146.47,5,False
411.14,La Coruña,florenciaherrera,paypal,tableta,70.37.161.76,6,False
226.67,Las Palmas,marcelinomartin,tarjeta_debito,PC,214.151.1.19,23,False
887.33,Granada,calvojennifer,paypal,PC,79.171.241.56,4,False
650.58,Baleares,isernnico,paypal,PC,199.196.25.37,6,True
929.72,Ciudad,alfaroperla,paypal,tableta,16.18.133.68,13,False
592.33,Ciudad,leivaeugenia,tarjeta_credito,móvil,179.218.106.2,16,False
290.14,Jaén,hectormoreno,paypal,móvil,201.60.95.35,21,True
403.97,Zamora,maria-fernanda87,paypal,PC,145.190.238.17,2,True
655.98,Ceuta,blas50,tarjeta_debito,tableta,202.129.168.215,0,True
985.79,Girona,higuerasgala,transferencia,móvil,197.130.96.116,18,True
374.18,Valencia,romaadoracion,tarjeta_debito,tableta,79.19.169.76,2,False
478.02,Vizcaya,bsainz,transferencia,tableta,131.177.178.33,13,False
28.68,Álava,rosapedro,tarjeta_debito,tableta,6.92.32.215,23,False
386.34,Guadalajara,carpiosalome,tarjeta_credito,móvil,112.21.201.141,16,True
827.72,Ávila,epifanio19,transferencia,móvil,181.188.155.126,8,True
16.77,Cáceres,reynaldoalmagro,paypal,tableta,188.139.249.32,14,True
486.87,Burgos,severino79,tarjeta_debito,PC,203.9.115.74,14,True
382.86,Cáceres,ponciocheca,paypal,móvil,189.14.6.141,4,True
978.22,Murcia,amanzano,transferencia,tableta,160.233.12.235,11,False
708.03,Cantabria,rita29,transferencia,móvil,129.227.182.210,7,True
965.09,Alicante,pacomanrique,tarjeta_credito,tableta,68.163.106.164,14,False
363.55,Lleida,huertajenny,tarjeta_debito,PC,134.70.41.245,18,True
169.77,Murcia,fhierro,tarjeta_credito,PC,145.144.145.182,14,False
294.76,Ourense,tadeohernando,paypal,tableta,40.180.79.75,20,True
164.13,Cantabria,ballesterosquique,tarjeta_debito,tableta,221.153.137.213,10,True
240.87,Zaragoza,marcelopriego,tarjeta_credito,móvil,143.42.80.197,14,True
